Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Left shoulder,7.565744,-0.312255859375,-0.529296875,-0.822021484375,0.335693359375,25.6881713867,-0.595092773438
Right shoulder,7.567151,0.093505859375,-0.287353515625,-1.017578125,-3.25012207031,2.20489501953,-0.0381469726562
Back pelvis,7.568477,0.392333984375,-0.490478515625,-0.83935546875,-3.23486328125,1.62506103516,-0.137329101562
Front pelvis,7.574151,-0.384765625,0.283447265625,0.841796875,-3.39508056641,1.75476074219,0.175476074219
Belly button,7.575717,0.673828125,0.143798828125,0.715087890625,-3.04412841797,1.90734863281,-0.0991821289062
Sternum,7.577314,-0.156005859375,0.506103515625,0.81689453125,-3.37219238281,1.62506103516,0.0534057617188
Head,7.578724,0.913818359375,0.154296875,0.399169921875,-3.28826904297,1.76239013672,-0.1220703125
Left thigh,7.581456,0.73876953125,0.1708984375,0.64404296875,-3.18145751953,1.67846679688,0.0991821289062
Left tibia,7.582678,-0.73046875,0.28125,0.571044921875,-3.2958984375,1.39617919922,-0.144958496094
Left foot,7.583830,0.34033203125,0.234130859375,0.896240234375,-3.33404541016,1.53350830078,0.0534057617188
Right thigh,7.585103,0.821533203125,-0.58837890625,0.057373046875,-3.45611572266,1.64794921875,0.114440917969
Right tibia,7.587519,0.850830078125,-0.48828125,-0.298828125,-3.12042236328,1.75476074219,0.1220703125
Right foot,7.588657,0.56884765625,0.23388671875,0.776611328125,-3.25012207031,1.98364257812,-0.160217285156
Left hand,7.589992,0.19384765625,-0.607177734375,-0.819091796875,-3.20434570312,1.90734863281,-0.00762939453125
Left forearm,7.591165,-0.71435546875,-0.662353515625,-0.06103515625,-3.25775146484,3.26538085938,-0.686645507812
Left biceps,7.594117,0.1630859375,0.50830078125,0.82666015625,-2.96783447266,2.08282470703,-0.198364257812
Right hand,7.595394,0.910888671875,0.038818359375,-0.523193359375,-3.22723388672,1.93023681641,-0.0534057617188
Right forearm,7.596622,0.554443359375,0.27587890625,0.77197265625,-3.24249267578,1.99890136719,0.030517578125
Right biceps,7.597888,-0.62744140625,0.012451171875,-0.82568359375,-3.07464599609,1.66320800781,0.091552734375
Left shoulder,7.600259,-0.3134765625,-0.5341796875,-0.829345703125,-3.12042236328,2.25830078125,-0.091552734375
Right shoulder,7.601447,0.092529296875,-0.287353515625,-1.01098632812,-2.77709960938,1.57165527344,0.0762939453125
Back pelvis,7.602627,0.39111328125,-0.496337890625,-0.838134765625,-3.08227539062,1.96838378906,0.0457763671875
Front pelvis,7.603778,-0.387939453125,0.28857421875,0.843505859375,-2.96783447266,1.88446044922,-0.137329101562
Belly button,7.606144,0.67138671875,0.144287109375,0.7177734375,-2.95257568359,2.04467773438,0.205993652344
Sternum,7.607463,-0.151123046875,0.507080078125,0.821533203125,-4.01306152344,2.31170654297,-0.259399414062
Head,7.609866,0.914794921875,0.15380859375,0.39404296875,-3.14331054688,1.92260742188,-0.175476074219
Left thigh,7.612386,0.738525390625,0.169677734375,0.652099609375,-3.31115722656,2.22778320312,-0.152587890625
Left tibia,7.617554,-0.731689453125,0.28076171875,0.567138671875,-3.2958984375,1.35040283203,-0.259399414062
Left foot,7.618995,0.341064453125,0.236572265625,0.88818359375,-3.16619873047,1.93023681641,-0.030517578125
Right thigh,7.620153,0.815673828125,-0.586181640625,0.06298828125,-3.26538085938,1.68609619141,0.114440917969
Right tibia,7.621380,0.854736328125,-0.486572265625,-0.28857421875,-3.59344482422,1.66320800781,0.06103515625
Right foot,7.623756,0.560791015625,0.22998046875,0.783935546875,-3.173828125,1.97601318359,-0.0152587890625
Left hand,7.624942,0.1953125,-0.610107421875,-0.81494140625,-3.40270996094,1.75476074219,0.0991821289062
Left forearm,7.626110,-0.71337890625,-0.660400390625,-0.0654296875,-3.72314453125,4.08172607422,-0.595092773438
Left biceps,7.627261,0.167236328125,0.50927734375,0.826416015625,-3.41796875,2.03704833984,-0.0228881835938
Right hand,7.629660,0.9130859375,0.0390625,-0.517333984375,-3.34167480469,2.36511230469,0.144958496094
Right forearm,7.630832,0.552734375,0.273681640625,0.763427734375,-3.09753417969,1.87683105469,0.167846679688
Right biceps,7.631991,-0.6279296875,0.010498046875,-0.82421875,-3.49426269531,1.76239013672,-0.205993652344
Left shoulder,7.633178,-0.303466796875,-0.52685546875,-0.823486328125,-3.09753417969,1.86157226562,0.42724609375
Right shoulder,7.635565,0.09326171875,-0.291748046875,-1.01171875,-3.00598144531,1.80053710938,-0.0457763671875
Back pelvis,7.636733,0.394775390625,-0.495361328125,-0.8369140625,-3.173828125,1.92260742188,0.137329101562
Front pelvis,7.637996,-0.38427734375,0.28759765625,0.83740234375,-3.21197509766,1.86157226562,-0.228881835938
Belly button,7.639493,0.677490234375,0.149169921875,0.70947265625,-3.11279296875,1.87683105469,0.0839233398438
Sternum,7.642006,-0.1552734375,0.508056640625,0.821044921875,-2.22778320312,1.3427734375,0.282287597656
Head,7.643203,0.914794921875,0.154541015625,0.39404296875,-3.34167480469,1.96838378906,-0.137329101562
Left thigh,7.644373,0.736083984375,0.167724609375,0.64697265625,-3.16619873047,1.99890136719,-0.152587890625
Left tibia,7.645589,-0.72509765625,0.281494140625,0.572509765625,-3.52478027344,1.02233886719,0.00762939453125
Left foot,7.647973,0.342529296875,0.2373046875,0.90234375,-3.47900390625,1.51824951172,0.213623046875
Right thigh,7.649220,0.8203125,-0.585205078125,0.057861328125,-3.2958984375,1.74713134766,-0.320434570312
Right tibia,7.650411,0.8544921875,-0.487548828125,-0.301513671875,-3.23486328125,1.84631347656,0.152587890625
Right foot,7.651559,0.56396484375,0.23486328125,0.782958984375,-3.25775146484,1.81579589844,0.190734863281
Left hand,7.653938,0.192626953125,-0.609130859375,-0.827880859375,-3.28826904297,1.77764892578,-0.0152587890625
Left forearm,7.655122,-0.716552734375,-0.666748046875,-0.068359375,-2.88391113281,0.473022460938,0.274658203125
Left biceps,7.656275,0.16455078125,0.51220703125,0.82470703125,-3.31878662109,1.94549560547,-0.190734863281
Right hand,7.657442,0.9111328125,0.039794921875,-0.522705078125,-3.47137451172,1.44195556641,-0.152587890625
Right forearm,7.659788,0.556640625,0.276123046875,0.7705078125,-3.34930419922,1.62506103516,-0.030517578125
Right biceps,7.660958,-0.621826171875,0.010986328125,-0.820556640625,-3.22723388672,1.953125,0.0152587890625
Left shoulder,7.662139,-0.31640625,-0.53857421875,-0.829345703125,-3.09753417969,3.05938720703,-0.869750976562
Right shoulder,7.663302,0.090087890625,-0.28369140625,-1.00903320312,-3.15856933594,1.89971923828,-0.0228881835938
Back pelvis,7.665684,0.39599609375,-0.49072265625,-0.84033203125,-3.26538085938,1.90734863281,-0.0381469726562
Front pelvis,7.666865,-0.3798828125,0.2919921875,0.83984375,-3.31878662109,2.02178955078,-0.0457763671875
Belly button,7.668034,0.672607421875,0.14306640625,0.706298828125,-2.90679931641,1.953125,-0.0762939453125
Sternum,7.669255,-0.154541015625,0.508544921875,0.813232421875,-3.73840332031,2.37274169922,-0.175476074219
Head,7.671569,0.914306640625,0.15380859375,0.40283203125,-3.28063964844,1.90734863281,-0.167846679688
Left thigh,7.672814,0.734130859375,0.166748046875,0.647705078125,-3.03649902344,1.77764892578,-0.114440917969
Left tibia,7.673998,-0.728759765625,0.281982421875,0.572998046875,-3.21960449219,1.60980224609,-0.259399414062
Left foot,7.675165,0.341796875,0.236083984375,0.892822265625,-3.54766845703,1.55639648438,-0.274658203125
Right thigh,7.677477,0.820068359375,-0.585205078125,0.0595703125,-3.33404541016,2.03704833984,0.1220703125
Right tibia,7.678646,0.855712890625,-0.488525390625,-0.291015625,-3.40270996094,1.93786621094,-0.144958496094
Right foot,7.680071,0.5693359375,0.227783203125,0.77587890625,-3.21197509766,2.02178955078,0.144958496094
Left hand,7.687239,0.1953125,-0.609130859375,-0.8232421875,-3.36456298828,2.03704833984,-0.1220703125
Left forearm,7.694276,-0.7158203125,-0.659423828125,-0.05322265625,-3.63159179688,3.61633300781,-0.740051269531
Left biceps,7.695812,0.164794921875,0.507080078125,0.8212890625,-3.13568115234,2.10571289062,0.0839233398438
