Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Right biceps,0.303937,-0.351806640625,-0.854248046875,0.23095703125,20.0729370117,-15.2587890625,4.28771972656
Left shoulder,0.306269,-0.1240234375,0.933837890625,0.291015625,-8.01849365234,0.869750976562,4.53186035156
Right shoulder,0.307565,-0.51220703125,0.81982421875,0.345947265625,-13.1454467773,-4.40216064453,0.442504882812
Back pelvis,0.308791,0.86767578125,-0.01171875,0.269287109375,-10.9405517578,23.2620239258,-16.960144043
Front pelvis,0.309974,0.8466796875,0.05078125,0.053466796875,-9.04846191406,-6.65283203125,6.00433349609
Belly button,0.312387,0.328369140625,0.84619140625,0.1484375,15.4571533203,-7.29370117188,-12.9089355469
Sternum,0.313574,0.95849609375,0.118408203125,0.966796875,-8.65936279297,3.24249267578,-29.899597168
Head,0.314750,0.93115234375,-0.0185546875,0.31396484375,15.1596069336,1.35803222656,12.8326416016
Left thigh,0.315906,-0.184814453125,-0.957763671875,-0.1220703125,-0.541687011719,-7.97271728516,-2.685546875
Left tibia,0.318226,0.437744140625,-0.835205078125,0.10595703125,-11.0168457031,25.8941650391,-49.4842529297
Left foot,0.319452,1.99993896484,-2.0,-0.165771484375,146.97265625,249.992370605,-191.215515137
Right thigh,0.320666,0.395263671875,-0.952392578125,-0.084716796875,-19.9737548828,11.1618041992,-23.4680175781
Right tibia,0.321837,0.543701171875,-0.88525390625,0.151123046875,-9.65881347656,-43.9910888672,-84.5489501953
Right foot,0.324267,-1.35766601562,0.43408203125,1.6689453125,22.8271484375,43.6706542969,-12.4359130859
Left hand,0.325425,1.00561523438,0.060302734375,0.256103515625,10.498046875,6.64520263672,-0.495910644531
Left forearm,0.326579,0.1220703125,-0.98486328125,0.3544921875,-18.9971923828,34.1415405273,8.11767578125
Left biceps,0.328089,0.110595703125,-0.88818359375,0.320068359375,-4.26483154297,-0.228881835938,-31.0440063477
Right hand,0.330507,0.875244140625,-0.324462890625,0.233154296875,30.1666259766,20.1644897461,21.4767456055
Right forearm,0.332077,-0.3369140625,-0.898193359375,0.211669921875,-23.4222412109,-50.4379272461,2.73895263672
Right biceps,0.333388,-0.345458984375,-0.8388671875,0.235107421875,19.2565917969,-16.5710449219,4.18090820312
Left shoulder,0.334596,-0.118408203125,0.9697265625,0.2900390625,-8.544921875,-7.39288330078,2.82287597656
Right shoulder,0.337104,-0.46630859375,0.7783203125,0.327880859375,-16.9296264648,-3.14331054688,0.946044921875
Back pelvis,0.338282,0.92724609375,-0.087890625,0.176025390625,-9.62066650391,8.39996337891,-6.74438476562
